,cafe_id,cafe,address,addrbunho,image_url
0,677411887,고고점프,제주특별자치도 제주시 일도2동,357-12,
1,1844506916,틴더타운,제주특별자치도 제주시 구좌읍 행원리,1518-2,
2,421825440,카페다바리스타학원,제주특별자치도 제주시 조천읍 신촌리,2268,
3,15913199,도서관가는길커피숍,제주특별자치도 제주시 오라이동,885-1,
4,1791532355,커피욜로,제주특별자치도 제주시 아라일동,6130-6,http://t1.daumcdn.net/place/68ED561E98F84166ACFACA616014E31A
5,16322301,현대모비스카페 모비스이도점한보상사,제주특별자치도 제주시 이도2동,1019-8,
6,749278855,인펀트몽키,제주특별자치도 제주시 도련일동,1995-6,http://t1.daumcdn.net/localfiy/DFB962C2B44D4071896914A7DEEE32FE
7,1744283951,파피용살롱드떼,제주특별자치도 서귀포시 표선면 표선리,880-2,http://t1.daumcdn.net/localfiy/57F9E120A36B469899765FE7B1E2E810
8,26353548,망고식스 신제주점,제주특별자치도 제주시 연동,272-46,http://t1.daumcdn.net/place/FB1FC442515849258EE1706AE934020C
9,26835700,루카,제주특별자치도 제주시 연동,279-1,http://t1.daumcdn.net/place/84D3FBA0B6D54614B2DF09262FF02F63
10,1585655885,카페데바,제주특별자치도 제주시 한림읍 수원리,249,http://t1.daumcdn.net/place/34B4C0C3A74942B688F022930E49FD70
11,1039795272,까사로마커피숍,제주특별자치도 서귀포시 서귀동,314-2,
12,162486547,브런치카페올레락,제주특별자치도 제주시 아라일동,2574,http://t1.daumcdn.net/localfiy/916D6F75E2294CC3ABB6F407467C3135
13,26590518,지유명차 제주이도점,제주특별자치도 제주시 이도2동,1022-6,http://t1.daumcdn.net/cfile/2553C644555F128125
14,27446173,하도리1091,제주특별자치도 제주시 구좌읍 하도리,1091-5,http://t1.daumcdn.net/place/88FBCE9EC4104CFDA185CFB0A34E8C03
15,26639829,더블루브리즈,제주특별자치도 제주시 봉개동,289-2,http://t1.daumcdn.net/cfile/2164403C554CE18C30
16,27149644,애월더선셋,제주특별자치도 제주시 애월읍 곽지리,1381,http://t1.daumcdn.net/place/AF64BE5EB61F4229B44B9F9265CF780B
17,529445079,다흰,제주특별자치도 제주시 한림읍 옹포리,588-2,
18,1224432904,깃든카페,제주특별자치도 제주시 구좌읍 한동리,1369,http://t1.daumcdn.net/localfiy/13A0DFBE1A3D4216977A538B41040532
19,1613854186,카페내콩가,제주특별자치도 제주시 애월읍 수산리,511,http://t1.daumcdn.net/place/805F9FBCDACF442B9A1C9C35716E1B82
20,445133179,에릭스에스프레소,제주특별자치도 제주시 구좌읍 세화리,1397-6,http://t1.daumcdn.net/place/B3C2924C190241359781DA77D9B80199
