Unnamed: 0,cafe_id,cafe,address,addrbunho,image_url
0,1435079685,카페비글,제주특별자치도 제주시 조천읍 신촌리,2717-4,
1,13616943,동명다방,제주특별자치도 제주시 일도2동,1024-12,
2,1316013494,바바라코코,제주특별자치도 서귀포시 대포동,2270,
3,1080732845,팔롬비니 제주본점,제주특별자치도 제주시 오라삼동,2401-46,http://t1.daumcdn.net/place/658D1988C8384F2EAE26314D39CEB530
4,21473253,파크관광호텔다방,제주특별자치도 서귀포시 서귀동,674-2,
5,15991302,카페여유,제주특별자치도 제주시 노형동,915-2,http://t1.daumcdn.net/place/3233968389A445538BC3E70ED0E33FC8
6,27447046,재게재게옵서카페,제주특별자치도 제주시 한림읍 협재리,2974,http://t1.daumcdn.net/localfiy/14B891442090445E9FF4EA982BBC109B
7,1365500111,정원이있는마네,제주특별자치도 서귀포시 안덕면 사계리,2294-13,http://t1.daumcdn.net/localfiy/F0D8B2013FE94833A969FEA381A1ECAC
8,23025179,곰탱이,제주특별자치도 제주시 연동,680-26,
9,812451551,제3공간,제주특별자치도 제주시 연동,1535,http://t1.daumcdn.net/localfiy/32453D02D8704871B7C52BB06971DC67
10,315505226,평화꽃섬,제주특별자치도 제주시 삼도2동,108-16,
11,1247747156,사계리2033,제주특별자치도 서귀포시 안덕면 사계리,2033,http://t1.daumcdn.net/localfiy/58BE5089355D4A6991B1F7FA2BA774DA
12,1150352609,노마스,제주특별자치도 서귀포시 안덕면 서광리,1418-1,http://t1.daumcdn.net/localfiy/C7FD162C24714F1F97984F27FC9EB29F
13,1645145228,수지네카페,제주특별자치도 서귀포시 안덕면 덕수리,2117,
14,1802810168,세탁쏘,제주특별자치도 서귀포시 동홍동,91-1,http://t1.daumcdn.net/place/0A8726700357419197F57504C781D68E
15,10785507,진주다방,제주특별자치도 제주시 삼도1동,538-3,
16,905387561,말깡쥬스,제주특별자치도 제주시 조천읍 함덕리,270-6,http://t1.daumcdn.net/localfiy/14763BFB4E904C1A8F7E343E627CA776
17,338325866,카페루팡,제주특별자치도 제주시 연동,271-39,http://t1.daumcdn.net/place/E173212A53334E57AE1005AACB555DE8
18,2089041330,테오도라,제주특별자치도 제주시 아라이동,1145-6,
19,526568146,제주함덕카페 라라떼,제주특별자치도 제주시 조천읍 함덕리,1231,http://t1.daumcdn.net/localfiy/searchregister_1436536655
20,12546827,몽드,제주특별자치도 제주시 연동,283-46,http://t1.daumcdn.net/place/E2362A37467744FB85853C0E578D021B
21,1392519675,라또알블랑쉬,제주특별자치도 제주시 구좌읍 하도리,3078-4,http://t1.daumcdn.net/place/6A9C65E700264B209F3CC4E516E12126
22,480010152,앤,제주특별자치도 서귀포시 대정읍 보성리,2468,
23,9781097,립스틱,제주특별자치도 서귀포시 서귀동,292-21,
24,27483377,제주위미동백골,제주특별자치도 서귀포시 남원읍 위미리,890-4,
25,21469423,로타리쉼터,제주특별자치도 제주시 삼도2동,203-2,
26,1915394502,피플카페,제주특별자치도 제주시 조천읍 신촌리,2405-8,
27,1706278496,원더샌드위치카페,제주특별자치도 제주시 도남동,64-3,http://t1.daumcdn.net/place/7E02781757134A4E86FDB99B484F7868
28,26591021,달달카페,제주특별자치도 제주시 한림읍 월령리,348-2,http://t1.daumcdn.net/place/0A71AA02E8F94E7585EEDB5C0D08C246
29,21524936,숑,제주특별자치도 서귀포시 남원읍 신례리,27-6,http://t1.daumcdn.net/place/40D6A986B32A4D02869898F1166E2949
30,1475505222,소담카페,제주특별자치도 서귀포시 표선면 토산리,439-5,
31,27491844,이웃집마나까페,제주특별자치도 제주시 일도2동,48-2,http://t1.daumcdn.net/cfile/2154234C5767857202
32,1779867565,쁘띠뚜아,제주특별자치도 제주시 오라이동,130,
33,8359940,새벽이슬,제주특별자치도 제주시 해안동,22-13,
34,27237634,쓰담뜨담,제주특별자치도 서귀포시 안덕면 창천리,794-2,http://t1.daumcdn.net/place/5FF9C5D6AEFC412FB7EE92B2547473CA
35,389424248,펫소풍,제주특별자치도 서귀포시 안덕면 서광리,2188-1,http://t1.daumcdn.net/localfiy/B99771AFF9284BEC929EEFB849E814E2
36,447419247,오늘종달,제주특별자치도 제주시 구좌읍 종달리,477-1,
37,1892181316,타임,제주특별자치도 서귀포시 서귀동,301-20,
38,849201874,쏘셜클럽,제주특별자치도 서귀포시 대정읍 보성리,2372,http://t1.daumcdn.net/localfiy/1C1700F4A70641F88B755410D9C969A4
39,1903840341,요거프레소 제주성산점,제주특별자치도 서귀포시 성산읍 오조리,634,http://t1.daumcdn.net/localfiy/D532A20B44F34D9BBDEC93077A7ED4E9
40,27517565,에프터글로우,제주특별자치도 제주시 아라이동,1200-2,http://t1.daumcdn.net/place/D83AF53BC23240C795696EB33AE0C2F3
41,1546033095,카페360,제주특별자치도 제주시 이도이동,2007-4,http://t1.daumcdn.net/place/B08BEE12E25845D19F098CACF5B485B8
42,481425144,골목카페옥수,제주특별자치도 제주시 애월읍 소길리,652-1,http://t1.daumcdn.net/place/CE7188D9F08B404BBBC28E799C8ADFB4
43,1932644689,피터펫카페 제주세종점,제주특별자치도 제주시 도두일동,1241-2,
44,928680139,종종캐주얼다이닝앤카페,제주특별자치도 제주시 연동,1496-4,http://t1.daumcdn.net/place/A30D94D0270C43C6BA9F92877D4C8874
