,final_address,addrbunho,address,cafe,cafe_id,image_url,franchise,si,town,ri,dong,address1,lat,lng
222,제주특별자치도 제주시 이도1동 1403-2,1403-2,제주특별자치도 제주시 이도1동,윤재커피,371491242,http://t1.daumcdn.net/place/C26CDB1CF06E4CA8BBF33BA567EDECBC,0.0,제주시,제주시,제주시,이도1동,"['제주특별자치도', '제주시', '이도1동']",33.511801418263836,126.5241090090702
829,제주특별자치도 제주시 삼도일동 565-4,565-4,제주특별자치도 제주시 삼도일동,파스쿠찌 제주서사라점,203853018,,1.0,제주시,제주시,제주시,삼도일동,"['제주특별자치도', '제주시', '삼도일동']",33.49968410672603,126.51852770867903
3363,제주특별자치도 제주시 용담삼동 2293-2,2293-2,제주특별자치도 제주시 용담삼동,새콤달콤,1894599836,,0.0,제주시,제주시,제주시,용담삼동,"['제주특별자치도', '제주시', '용담삼동']",33.51951367482138,126.49365227261919
192,제주특별자치도 제주시 이도이동 1179-9,1179-9,제주특별자치도 제주시 이도이동,에이바우트커피 시청점,284718590,http://t1.daumcdn.net/place/81F07675A8DD489B86D6C894F8F1E4CA,0.0,제주시,제주시,제주시,이도이동,"['제주특별자치도', '제주시', '이도이동']",33.49877930326397,126.53085231596516
1755,제주특별자치도 제주시 연동 313-36,313-36,제주특별자치도 제주시 연동,커피비터스윗,1600479438,http://t1.daumcdn.net/place/5412F3F176B14499ACB73D9E09BF4139,0.0,제주시,제주시,제주시,연동,"['제주특별자치도', '제주시', '연동']",33.486838243487,126.49852949860596
2645,제주특별자치도 제주시 노형동 2535-1,2535-1,제주특별자치도 제주시 노형동,제주빈,26610812,http://t1.daumcdn.net/place/2BE6D0B7D76048B28FF0141D580D442A,0.0,제주시,제주시,제주시,노형동,"['제주특별자치도', '제주시', '노형동']",33.48368683259153,126.47514797923348
2813,제주특별자치도 제주시 이도2동 1767-1,1767-1,제주특별자치도 제주시 이도2동,클라우드나인커피,24804810,http://t1.daumcdn.net/place/90CE30A5A991494A945AAC0270791FC4,0.0,제주시,제주시,제주시,이도2동,"['제주특별자치도', '제주시', '이도2동']",33.49903660416324,126.52927976517567
1592,제주특별자치도 제주시 이도1동 1258-10,1258-10,제주특별자치도 제주시 이도1동,갤러리카페다리,1387001733,http://t1.daumcdn.net/place/BCF6E82E9D00457C983BBEC961661DF9,0.0,제주시,제주시,제주시,이도1동,"['제주특별자치도', '제주시', '이도1동']",33.50141083806238,126.52960698338994
259,제주특별자치도 제주시 연동 253-46,253-46,제주특별자치도 제주시 연동,처음처럼,9963177,,0.0,제주시,제주시,제주시,연동,"['제주특별자치도', '제주시', '연동']",33.48501223691954,126.4876598828734
272,제주특별자치도 제주시 용담이동 2002,2002,제주특별자치도 제주시 용담이동,커피니 제주공항국내선점,623343843,,0.0,제주시,제주시,제주시,용담이동,"['제주특별자치도', '제주시', '용담이동']",33.50778007210298,126.49313083713172
2910,제주특별자치도 제주시 해안동 3,3,제주특별자치도 제주시 해안동,숲속의작은집,26622677,http://t1.daumcdn.net/place/2033977840984535BB1DBAE0245EDFE4,0.0,제주시,제주시,제주시,해안동,"['제주특별자치도', '제주시', '해안동']",33.44946075706206,126.4799144482309
1465,제주특별자치도 제주시 이도2동 1984-5,1984-5,제주특별자치도 제주시 이도2동,동광,1553305291,http://t1.daumcdn.net/place/531267A8CC804EB19B7F8DF49C3EDDC0,0.0,제주시,제주시,제주시,이도2동,"['제주특별자치도', '제주시', '이도2동']",33.48972781881946,126.54256523276287
2972,제주특별자치도 제주시 일도2동 416-9,416-9,제주특별자치도 제주시 일도2동,마인,8958536,,0.0,제주시,제주시,제주시,일도2동,"['제주특별자치도', '제주시', '일도2동']",33.50450042839968,126.5418331998726
2096,제주특별자치도 제주시 이도1동 1789-5,1789-5,제주특별자치도 제주시 이도1동,모란뉴다방,16729836,,0.0,제주시,제주시,제주시,이도1동,"['제주특별자치도', '제주시', '이도1동']",33.501816275774594,126.52811106183815
1767,제주특별자치도 제주시 일도2동 378-4,378-4,제주특별자치도 제주시 일도2동,제주여행카페,13562902,http://t1.daumcdn.net/cfile/1935E9474F38D07A1C,0.0,제주시,제주시,제주시,일도2동,"['제주특별자치도', '제주시', '일도2동']",33.50608655027633,126.5406754318146
2893,제주특별자치도 제주시 이도1동 1245-5,1245-5,제주특별자치도 제주시 이도1동,벨로인연구실,1952082824,,0.0,제주시,제주시,제주시,이도1동,"['제주특별자치도', '제주시', '이도1동']",33.50273862033667,126.53263464223409
1339,제주특별자치도 제주시 해안동 1851-3,1851-3,제주특별자치도 제주시 해안동,빨간우체통,24628316,,0.0,제주시,제주시,제주시,해안동,"['제주특별자치도', '제주시', '해안동']",33.45263075966317,126.4563708485415
744,제주특별자치도 제주시 도남동 61-4,61-4,제주특별자치도 제주시 도남동,델문도 로스터스,1115019463,http://t1.daumcdn.net/place/D3096971543B4FD1B553D21B61A8D724,0.0,제주시,제주시,제주시,도남동,"['제주특별자치도', '제주시', '도남동']",33.49181260956026,126.5263274396442
467,제주특별자치도 제주시 도남동 384,384,제주특별자치도 제주시 도남동,알라카르테,627048284,,0.0,제주시,제주시,제주시,도남동,"['제주특별자치도', '제주시', '도남동']",33.48103738723418,126.52460867975854
2917,제주특별자치도 제주시 노형동 3780-4,3780-4,제주특별자치도 제주시 노형동,에이바우트커피 아이파크점,362896153,http://t1.daumcdn.net/place/49E381B2AB0A4444948230B0B19AB7D0,0.0,제주시,제주시,제주시,노형동,"['제주특별자치도', '제주시', '노형동']",33.48428355347207,126.47810540286868
716,제주특별자치도 제주시 오라이동 130,130,제주특별자치도 제주시 오라이동,쁘띠뚜아,1779867565,,0.0,제주시,제주시,제주시,오라이동,"['제주특별자치도', '제주시', '오라이동']",,
1284,제주특별자치도 제주시 연동 272-39,272-39,제주특별자치도 제주시 연동,쏭스라이브,826924991,,0.0,제주시,제주시,제주시,연동,"['제주특별자치도', '제주시', '연동']",33.488188281797555,126.49175581382013
3021,제주특별자치도 제주시 아라일동 1753-3,1753-3,제주특별자치도 제주시 아라일동,카페잇 제주대학교병원점,1353926708,,0.0,제주시,제주시,제주시,아라일동,"['제주특별자치도', '제주시', '아라일동']",33.46719520413051,126.54552790976332
2834,제주특별자치도 제주시 연동 281-41,281-41,제주특별자치도 제주시 연동,석화민속찻집,8374875,http://t1.daumcdn.net/place/10BC6EB1155D4EE59816D27919176AAA,0.0,제주시,제주시,제주시,연동,"['제주특별자치도', '제주시', '연동']",33.491674495117714,126.49323760710188
1020,제주특별자치도 제주시 노형동 945-20,945-20,제주특별자치도 제주시 노형동,제제,43273257,,0.0,제주시,제주시,제주시,노형동,"['제주특별자치도', '제주시', '노형동']",33.482731347218895,126.48551713880745
1280,제주특별자치도 제주시 이도2동 1772-37,1772-37,제주특별자치도 제주시 이도2동,파인땡큐,19831358,http://t1.daumcdn.net/cfile/2201923D51C6D8D246,0.0,제주시,제주시,제주시,이도2동,"['제주특별자치도', '제주시', '이도2동']",33.4998989503573,126.52939132190153
476,제주특별자치도 제주시 이도2동 1979-22,1979-22,제주특별자치도 제주시 이도2동,크레프트카페 가배,1711116308,,0.0,제주시,제주시,제주시,이도2동,"['제주특별자치도', '제주시', '이도2동']",33.48992835175059,126.5402313520261
