,addrbunho,address,cafe,cafe_id,image_url,franchise,si,address1,town,ri,final_address,lat,lng
2166,893-3,제주특별자치도 제주시 영평동,하동다방,1745916823,,0.0,제주시,"['제주특별자치도', '제주시', '영평동']",제주시,제주시,제주특별자치도 제주시 영평동 893-3,33.486326809413285,126.57387270899554
349,2255,제주특별자치도 제주시 조천읍 함덕리,농업회사법인한스,1044133186,http://t1.daumcdn.net/localfiy/1A6D33F69956415C91B7FE77104E042E,0.0,제주시,"['제주특별자치도', '제주시', '조천읍', '함덕리']",조천읍,함덕리,제주특별자치도 제주시 조천읍 함덕리 2255,33.52654901425911,126.66029377179375
2315,2170-2,제주특별자치도 제주시 영평동,카페이안갤러리,1928999614,,0.0,제주시,"['제주특별자치도', '제주시', '영평동']",제주시,제주시,제주특별자치도 제주시 영평동 2170-2,33.452959463696274,126.57254308809446
3080,1501,제주특별자치도 제주시 연동,레몬트리,8580336,,0.0,제주시,"['제주특별자치도', '제주시', '연동']",제주시,제주시,제주특별자치도 제주시 연동 1501,33.47968549529144,126.49025187628652
2112,2872-18,제주특별자치도 제주시 한림읍 협재리,써니의놀이터in카페,571671874,http://t1.daumcdn.net/place/8CBFB92CC9FE4C359452A3C9850AC9A3,0.0,제주시,"['제주특별자치도', '제주시', '한림읍', '협재리']",한림읍,협재리,제주특별자치도 제주시 한림읍 협재리 2872-18,33.38819976094441,126.24910318876057
1239,271-28,제주특별자치도 서귀포시 서귀동,마실디,26942351,http://t1.daumcdn.net/place/26229D800F644F13B08FCB3133BF97CA,0.0,서귀포시,"['제주특별자치도', '서귀포시', '서귀동']",서귀포시,서귀포시,제주특별자치도 서귀포시 서귀동 271-28,33.249579647567685,126.56409287236647
2757,276-30,제주특별자치도 서귀포시 중앙동,고려다방,11847647,,0.0,서귀포시,"['제주특별자치도', '서귀포시', '중앙동']",서귀포시,서귀포시,제주특별자치도 서귀포시 중앙동 276-30,,
774,1316-3,제주특별자치도 서귀포시 동홍동,흙집사랑,13608624,,0.0,서귀포시,"['제주특별자치도', '서귀포시', '동홍동']",서귀포시,서귀포시,제주특별자치도 서귀포시 동홍동 1316-3,33.26377537928133,126.56217638660576
1624,1830-7,제주특별자치도 서귀포시 하예동,카페아트진,1956506936,http://t1.daumcdn.net/localfiy/D3932580A39C443FAB4F1D543213BD0F,0.0,서귀포시,"['제주특별자치도', '서귀포시', '하예동']",서귀포시,서귀포시,제주특별자치도 서귀포시 하예동 1830-7,33.235391032509234,126.36959193973527
3079,3001-14,제주특별자치도 제주시 아라이동,카페더비어,26786520,,0.0,제주시,"['제주특별자치도', '제주시', '아라이동']",제주시,제주시,제주특별자치도 제주시 아라이동 3001-14,33.492563134037816,126.5437339899703
