,final_address,addrbunho,address,cafe,cafe_id,image_url,franchise,si,town,ri,lat,lng
488,제주특별자치도 서귀포시 서귀동 341,341,제주특별자치도 서귀포시 서귀동,카페바티,1806440605,,0.0,서귀포시,서귀포시,서귀동,33.249744882527544,126.55980833672649
489,제주특별자치도 서귀포시 동홍동 107-10,107-10,제주특별자치도 서귀포시 동홍동,주민상회 서귀포동홍점,1609989496,,0.0,서귀포시,서귀포시,동홍동,33.25708080738801,126.57333635607095
490,제주특별자치도 제주시 애월읍 하귀1리 214-1,214-1,제주특별자치도 제주시 애월읍 하귀1리,뜨락,1975015812,,0.0,제주시,애월읍,하귀1리,33.482933044367186,126.41245569957741
491,제주특별자치도 서귀포시 대정읍 상모리 6-6,6-6,제주특별자치도 서귀포시 대정읍 상모리,오젠,9406746,http://t1.daumcdn.net/place/B928C95C08A844D0BE8E2F27026FC917,0.0,서귀포시,대정읍,상모리,33.21355256240508,126.2928763149302
492,제주특별자치도 제주시 도두이동 697,697,제주특별자치도 제주시 도두이동,노을언덕,8225315,http://t1.daumcdn.net/place/10B5F09CFDA5485BB8148FB7CD2386DA,0.0,제주시,제주시,도두이동,33.510643306291364,126.48347498014469
493,제주특별자치도 제주시 애월읍 봉성리 3138,3138,제주특별자치도 제주시 애월읍 봉성리,영국찻집,310705633,http://t1.daumcdn.net/localfiy/7188DA3273C3488198156E4AB4F8C90C,0.0,제주시,애월읍,봉성리,33.41724323878039,126.31413395582528
494,제주특별자치도 제주시 건입동 1089-8,1089-8,제주특별자치도 제주시 건입동,희다방,1943501358,,0.0,제주시,제주시,건입동,33.51391435821664,126.5354074442013
495,제주특별자치도 제주시 한림읍 수원리 658-2,658-2,제주특별자치도 제주시 한림읍 수원리,니나노제주,1079119268,http://t1.daumcdn.net/localfiy/searchregister_379656011,0.0,제주시,한림읍,수원리,33.42904107585209,126.26465682679569
496,제주특별자치도 제주시 노형동 2615-10,2615-10,제주특별자치도 제주시 노형동,죽이야기 카페제주점,12135268,,0.0,제주시,제주시,노형동,33.48671818774355,126.47392029004972
497,제주특별자치도 서귀포시 서귀동 251-5,251-5,제주특별자치도 서귀포시 서귀동,그날,1133257853,,0.0,서귀포시,서귀포시,서귀동,33.2491210239081,126.5680569147783
