,name,address,latitude,longitude
67,공천포구,제주특별자치도 서귀포시 남원읍 신례리,33.26312,126.64165
68,곶자왈,제주특별자치도 서귀포시 대정읍 신평리,33.28449,126.27018
69,"과오름(큰오름, 샛오름, 말젯오름)",제주특별자치도 제주시 애월읍 곽지리 산 1,33.44657762349735,126.32388009311524
70,곽지레저 & 서프나우,제주특별자치도 제주시 애월읍 곽지리 1565-13,33.4491254,126.3040889
71,곽지패총,제주특별자치도 제주시 애월읍 곽지리 2043-1,33.44588,126.30714
72,곽지해수욕장,제주특별자치도 제주시 애월읍 애월원당길 (곽지리),33.45122,126.3058
73,곽지해수욕장야영장,제주특별자치도 제주시 애월읍 곽지리 1565,33.450752,126.30563
74,관덕정,제주특별자치도 제주시 삼도2동 983-1,33.513355,126.52145
75,관음사,제주특별자치도 제주시 아라1동 387,33.423782,126.55818
76,관음사 군 주둔지 옛터,제주특별자치도 제주시 아라1동 387,33.426136,126.56269
77,관음사 템플스테이,제주시 산록북로 660,33.42172,126.558815
78,광령귤나무,제주특별자치도 제주시 애월읍 광령리 1165-1,33.459007,126.43912
79,"광이오름 (괭이오름, 肝列岳)",제주특별자치도 제주시 연동 산 62,33.46847099288404,126.49506376190186
80,광치기해변,제주특별자치도 서귀포시 성산읍 고성리 224-18,33.452452755358465,126.92458139419557
81,교래자연휴양림,제주특별자치도 제주시 조천읍 교래리 산 95,33.436817,126.66685
82,구엄리돌염전,제주특별자치도 제주시 애월읍 구엄리 609-1,33.482887,126.37733
83,구엄포구,제주특별자치도 제주시 애월읍 구엄리,33.479736,126.381935
84,구좌 하도어촌계,제주특별자치도 제주시 구좌읍 하도리 22-10,33.5200922,126.9041337
85,구좌해안로,제주특별자치도 제주시 구좌읍 구좌해안로,33.55702,126.727806
86,국립제주박물관,제주특별자치도 제주시 건입동 261,33.5139974,126.5489702
87,"군산(군산오름,코메오름)",제주특별자치도 서귀포시 안덕면 창천리 564,33.25584,126.370255
88,굴동포구,제주특별자치도 제주시 구좌읍 하도리,33.514984,126.88177
89,굿다이버,제주특별자치도 서귀포시 강정동 1528-3 ,33.2615636,126.49446999999998
90,궁대오름(궁대악),제주특별자치도 서귀포시 성산읍 수산리 4711-1,33.4405616,126.8220889
91,귀덕연대,제주특별자치도 제주시 한림읍 귀덕리 1118,33.4421307,126.2934016
92,귀빈사,제주특별자치도 제주시 구좌읍 송당리 2438,33.4429016,126.7613249
93,귤밭76번지,제주특별자치도 서귀포시 안덕면 상창리 906,33.283054,126.365265
94,귤빛캠핑장,제주특별자치도 제주시 조천읍 대흘리 172,33.504955,126.67441
95,그랑블루 요트투어,제주특별자치도 서귀포시 대포동 2367-1,33.238754,126.439644
96,그랑블루호(선상낚시),제주특별자치도 서귀포시 남원읍 위미리 1881-2,33.2746809,126.6626636
97,그리스신화박물관 / 트릭아이미술관,제주특별자치도 제주시 한림읍 금악리 산 30-12,33.3659432,126.35644
98,그린크루즈(산방산유람선),제주특별자치도 서귀포시 안덕면 화순리 636-15,33.236904,126.33513
99,금능석물원,제주특별자치도 제주시 한림읍 한림로 176,33.38459,126.226875
100,금능포구,제주특별자치도 제주시 한림읍 금능리,33.359856,126.24607
101,금능해수욕장,제주특별자치도 제주시 한림읍 금능리 2036-1,33.390003,126.23591
102,금덕무환자나무및팽나무군락,제주특별자치도 제주시 애월읍 유수암리 1920,33.441765,126.40065
103,금룡사,제주특별자치도 제주시 구좌읍 김녕리 1145-49,33.5398407,126.746583
104,금룡사 템플스테이,제주특별자치도 제주시 구좌읍 김녕로 148-11,33.55384,126.75357
105,금붕사,제주특별자치도 제주시 구좌읍 하도리 994,33.5011847,126.8887876
106,금성포구,제주특별자치도 제주시 애월읍 금성리 573-1,33.44681,126.29828
107,금악오름(왕매),제주특별자치도 제주시 한림읍 금악리 산 1-1,33.3529941,126.31394060000002
108,기독교순례길 1코스(순종의길),제주특별자치도 제주시 애월읍 금성리 436-3,33.446327,126.30273
109,기독교순례길 2코스(순교의길),제주특별자치도 제주시 한림읍 협재리 1791,33.39475,126.2431
110,기독교순례길 3코스(사명의길),제주특별자치도 제주시 한경면 조수리 331-1,33.336758,126.23075
111,기독교순례길 4코스(화해의길),제주특별자치도 서귀포시 대정읍 안성리 1639,33.251038,126.27966
112,김경숙해바라기농장,제주특별자치도 제주시 회천동 391,33.47736,126.62767
113,김녕 월정 지질트레일,제주특별자치도 제주시 구좌읍 김녕리 497-1,33.5562,126.76165
114,김녕 청굴물,제주특별자치도 제주시 구좌읍 김녕리 1296,33.5577758,126.7514764
115,김녕금속공예벽화마을,제주특별자치도 제주시 구좌읍 김녕리 4026,33.557953,126.74662
116,김녕사굴,제주특별자치도 제주시 구좌읍 덕천리 201-4,33.5011366,126.77422490000004
117,김녕요트투어,제주특별자치도 제주시 구좌읍 김녕리 4212-1,33.5582139,126.7373381
118,김녕항,제주특별자치도 제주시 구좌읍 김녕리 4074-2,33.558033,126.74019
