,cafe_id,cafe,address,addrbunho,image_url
57,1362462523,제주봄카페&스테이 전기차충전소,제주특별자치도 서귀포시 토평동,329-1,
58,9963177,처음처럼,제주특별자치도 제주시 연동,253-46,
59,12757724,커피볶는집 e브엘세바 서귀포동홍본점,제주특별자치도 서귀포시 동홍동,135-4,http://t1.daumcdn.net/place/5A4DB7B7B17F4C48A765AE00CFBD7140
60,2007964275,에그프라이,제주특별자치도 제주시 일도2동,357-10,
61,2040765880,1004카페,제주특별자치도 서귀포시 대정읍 구억리,1004,http://t1.daumcdn.net/place/8CD9A3964D874126BF96FF99D4159DD6
62,24876533,레이지카페,제주특별자치도 서귀포시 색달동,2242,
63,27445546,달보드레카페,제주특별자치도 서귀포시 표선면 표선리,40-3,http://t1.daumcdn.net/place/6D6C4FE73A1C44B68B6CC75426F80C7B
64,22407333,가배,제주특별자치도 서귀포시 강정동,710,http://t1.daumcdn.net/place/D61FC67F67204C168FECD42E6B4A0529
65,19737274,꽃피는커피,제주특별자치도 제주시 노형동,2533-1,http://t1.daumcdn.net/place/11E4895CEE7347A59942B2A7704A7A20
66,1893805090,코코부코 제주본점,제주특별자치도 서귀포시 안덕면 사계리,2147-30,
67,1460475575,할리스커피 제주협재해수욕장점,제주특별자치도 제주시 한림읍 협재리,2514-2,http://t1.daumcdn.net/place/FA27280109E541CEB4BA1AA4ACAAB81A
68,1229685652,서홍정원,제주특별자치도 서귀포시 서홍동,449-8,http://t1.daumcdn.net/place/DEA2705B47FE4142B9380D97F94DD4E6
69,1658038483,로빙화,제주특별자치도 서귀포시 남원읍 남원리,1398-7,http://t1.daumcdn.net/localfiy/695259663D114D3CAEDD3595CB3143AD
70,27609926,까망고띠,제주특별자치도 제주시 조천읍 선흘리,2040-1,http://t1.daumcdn.net/place/04EBEB1A68E84E07B0D88D44B00FBB5F
71,623343843,커피니 제주공항국내선점,제주특별자치도 제주시 용담이동,2002,
72,973636144,금화다방,제주특별자치도 서귀포시 대정읍 하모리,931-10,
73,1945810138,윤비자,제주특별자치도 제주시 한림읍 협재리,1416-1,
74,1834770525,카페제드 본점,제주특별자치도 서귀포시 색달동,2864-10,http://t1.daumcdn.net/place/31EFA882201545BC9A9DE5B7423D4169
75,8961009,리베라떼,제주특별자치도 제주시 삼도1동,571-1,http://t1.daumcdn.net/place/40686B0678624A57A8731A9734A5295A
76,1337042932,작은토끼,제주특별자치도 제주시 외도이동,235-2,
77,21654712,담담,제주특별자치도 제주시 한경면 저지리,3263-2,http://t1.daumcdn.net/place/0ADDBE72B78A4984BAACF70DBCC68EC6
78,18394154,춤추는염소들,제주특별자치도 제주시 연동,287-14,http://t1.daumcdn.net/place/E036E4CD6A53474D81ADD6C10C965365
79,1091922425,툭탁,제주특별자치도 서귀포시 강정동,207-1,
80,23688005,대평에오면,제주특별자치도 서귀포시 안덕면 창천리,777-5,http://t1.daumcdn.net/place/6EE7EF56777942E2A373D59A145F9B14
81,547444722,프롬더힐,제주특별자치도 서귀포시 대정읍 구억리,1008,http://t1.daumcdn.net/place/4E9BB3009C7A46BFA475D4859468C898
82,1350133038,No Lone Zone,제주특별자치도 제주시 노형동,906-1,http://t1.daumcdn.net/place/EA6741EE03444C32B49A28DCC06AF094
83,16266441,미로,제주특별자치도 제주시 구좌읍 김녕리,3322,
84,999989618,더심플,제주특별자치도 서귀포시 서호동,1551-10,http://t1.daumcdn.net/place/519A349977D74992A1E114D278E40706
85,941345504,미스터힐링 중문점,제주특별자치도 서귀포시 중문동,2059-7,
86,17574018,제주아트랜드 커피숍,제주특별자치도 제주시 구좌읍 송당리,2764-1,
87,11277880,대림카페,제주특별자치도 제주시 한림읍 한림리,1584,
88,1006508481,봄길,제주특별자치도 제주시 조천읍 북촌리,626-1,
89,1166334921,슈퍼키즈스카이방방,제주특별자치도 서귀포시 강정동,208-4,http://t1.daumcdn.net/cfile/277F064057A9288722
90,703484233,빅웨이브,제주특별자치도 서귀포시 성산읍 오조리,13,
91,21510014,귤림,제주특별자치도 제주시 용담1동,231-8,
92,708892179,정낭까페,제주특별자치도 제주시 한림읍 상명리,1036,
93,738749385,커피버튼로스터즈,제주특별자치도 제주시 한경면 신창리,330-6,http://t1.daumcdn.net/localfiy/searchregister_1998252425
94,17672153,프라우스타 에스프레소,제주특별자치도 제주시 연동,262-34,
95,1307726606,모뉴에트,제주특별자치도 제주시 구좌읍 종달리,814-24,http://t1.daumcdn.net/place/FD63C1B68C4A406580E221AF5C9211BF
96,15639202,빠빠라기 신제주점,제주특별자치도 제주시 연동,272-19,http://t1.daumcdn.net/place/C79C450F795244958B80F428ECFCB335
97,1785500578,해맞이카페,제주특별자치도 제주시 구좌읍 월정리,3,http://t1.daumcdn.net/place/02072F0E55A44045BBDE3D5C0D91DABD
98,2104442505,펍 배솔트블루,제주특별자치도 제주시 용담삼동,1137-1,http://t1.daumcdn.net/place/49D1A1D2980D471BAEEBC1AD691C1DDA
99,1271261114,돌고래바다카페,제주특별자치도 서귀포시 대정읍 신도리,2413-3,http://t1.daumcdn.net/place/5E3D1EB158954727B9F2B8973EA23813
