,cafe,message
347,마스코트,"경치, 분위기, 차 맛도 좋은 3박자가 딱 좋아~~!!"
348,마실,한적한 길에 눈에 띄는 예쁜 카페
349,마실디,"+천혜향주스
맛있음. 다만 먹다보면 단맛이 과하게 느껴짐.초콜릿&amp;크런치 6박스에 만원. 샘플도 줬어요.
초콜릿 샀더니 천혜향주스가 2,000이네요.
저는 온누리상품권으로 구매했습니다.
처음 먹어봤는데 맛있습니다. 강추망고는 좀달고 천혜향이 입맛에 딱~~^^
가격이 너무 쎗지만....맛은 괜찮았어요천혜향 주스 너무 맛있어서 택배 받고싶은데 전화번호를 몰라요 ㅠㅠ"
350,마음에온,"맘에드는 공간이다
주인의 고조부께서 만드신 집이라고한다. 어릴적부터 살던집이었다고도.
원래 이부근이 예전엔 한옥마을이었는데 현재는 남아있는곳이 이곳 한곳뿐이란다
디저트류는 소량으로만들어서 금방 매진될때도 있는듯
식혜가 달지않아서 내입엔 맞았다한옥 컨셉 카페인데 처음엔 음식점인 줄 알았는 데 안에 들어오니까 너무 이쁜 카페에요ㅠ 사장님도 친절하고 커피도 맛있구 디저트도 맛있어요! 숨은 이쁜 중앙로 카페ㅎㅎ"
351,마이티커피,"커피가 넘맛있어요 고소하고 향도좋고..
커피맛 좋네요. 음료 메뉴도 다채롭네요.아지트ㅋㅋ핸드드립, 로스터리 카페.
언제 하루 종일 있어야 할 듯일인빙수
그리고 맛있는커피♥커피 맛있어요언제나 편안한 곳~^^"
352,마커스카페,"카페 안에서 바라보는 조형물들과 바다의 모습이 환상입니다  카페 밖에서는 
별로 기대 안하고 들어갔다가 넘 만족했어요 
감탄사 연발하게 되여
"
353,만사오케이,핸드드립 진짜 맛있어요!! ㅎㅎㅎ 
354,말깡쥬스,Good :)건강한 당근주스!당근주스 건강한맛입니다. 아침에 짜서 병에 담아놓으셨네요. 당근주스 맛있어요.
355,말랑제주,근처 다른 카페 가려다가 시간이 안맞아서 못가고 대신 온 곳인데 매우 만족했습니다. 카페도 조용하고 사장님도 친절하세요. 카페 분위기도 깔끔하고 화장실도 깔끔해요! 그리고 제주도 카페에서 볼 수 없는 매우 합리적인 가격의 음료....ㅎㅎㅎㅎ 음식도 맛있어요! 앙버터도 서비스로 주셔서 먹었는데 존맛.....
356,말리가,"홍차빙수,우바(세계3대홍차),생크림스콘,양갱 등 모두 맛있어서 다 비웠어요~
스리랑카를 간접경험할 수 있는 좋은 카페였어요~"
357,말벗카페,"우리들의 작고 아름다운 공간...

승마와 함께 커피의 향을 즐겨&rdquo;보아&rdquo;요"
358,망고랑귤이랑,"망고, 초콜릿 아이스크림 4.0
귤쥬스 5.0
훈남사장님"
359,망고레이 동문시장점,"아이스크림하고 망고라씨 먹었는데 밍고라씨 진짜 맛없더군요. 라씨 한번도 안먹은 사람이 만든 듯. 것보단 그냥 맛없네요. 가격도 8500원이나 하는 게 말이죠.
안가시길 추천해요."
360,망고레이 섭지코지점,"가성비 극악..... 첫입만 맛있고 음료가 남을수록 질려서 못먹는다. 심지어 비싸다. 망고 음료은 맛있어요. 망고도 뭐 그럭저럭 먹을만 합니다. 엄청 달다? 이런건 아니고요
적당히 달고 시큼합니다. 가성비는 안나오네요. 망고는 대만이 최고입니다. 
더운데 시원하게 한잔하기 좋습니다. 이거 먹으러 제주가지는 않겠지만 가는길에 있으면 
들리고는 싶어요.코코망고쉐이크 맛나요ㅜㅜ 또 먹고싶다

ps. 각종 기념품과 특산과자를 파는데 다른것보다도 삼립감귤타르트 사올걸 그랬음 성산 다른곳에선 보지 못함...맛집답게 정말 맛있게 잘먹었어요!! 
망고를 워낙 좋아해서인지 너무 맛있었어요
가격도 그리 부담스러운편도 아니고 
가게가 되게 필리핀 온것같이 잘꾸며져 있어서 여행중 쉬어가는 느낌이 더 낭낭했어요 ㅎㅎ
망고관련된 간식류들이 많이 파는데 그중에서 저희는 감귤, 한라봉 파이?도 사먹었는데 이것두 맛있었어욤 
번창하세요~~^^생망고 메뉴가 진짜맛있어요가격은 비싼데 맛있어요카라바오 생망고 주스 진짜 맛있어요 굿굿 더울 땐 망고레이가 최고! 저보통은 하는 맛.
단 가격은 사악.완전 불친절. 처음으로 후기를 쓰게끔 만든 불친절함...Coco Mango망고주스생망고를 취급하는 몇안되는 망고쥬스가게. 특이하게 페트병에 음료를 담아주는게 인상적이였다. 가게를 들어서면 오른쪽에 기념품들을 파는데 비누와 캔들종류가 예뻐서 인상적이다. 망고비누 냄새가 참좋은곳.서비스 완전 불친절제주도 오면 꼭 가는곳 ^^*
스노우망고플롯 짱짱맛망고레이
망고음료.카야토스트 맛남!!"
361,망고레이 송악산점,"직원 설명도 완전 똑부러지게 잘하시고 맛있어요가격이 부담스럽다. 맛은 최고의 망고맛.

다만 주문시 직원의 불쾌한 표정이 눈치보인다 
주문을 못하겠다.. 맞을것같다.12시 식사시간에 갔더니 손님없어서 조용하더라구요
직원분이 좀 불친절해서 주문시 내가 뭘 잘못했나 싶더라구요.
허니브래드 가야토스트 블랙커피 망고아포카토 과일비누등 아담하고 맛있네요.제주도는 이런 전국적인 한파에도 많이 안춥더군요~ 해안가 돌다가 망고레이에서 싱싱한 망고 한박스 득템! 겨울에 먹어도 달달하고 시원한 맛있는 망고가 그득하드라구요~생망고쉐이크 너무맜있고 스노우망고플롯도좋다 개인적으로 생망고쉐이크 나  스페셜망고쉐이크 추천"
362,망고레이 우도점,all망고레이가 우도에도있네?!여기는 어차피 체인점이니까 뭐~~ 맛  맛있죠 ㅋㅋ망고는 그냥 맛있는거에요 ㅋㅋ 가격은 좀 비싸요 크기 보시면 아시겠지만 너무 작아요 ~~ 딱 한번 맛보세요 ㅋㅋ
363,망고레이 제주함덕점,"망고때문에 갔는데 필리핀에서 오는 망고가 오지않아서
주문이 안된다능.. 그래서  애플망고로 대신했는데
맛은 있었음... 남자 사장님은 뭐 질문해도 거의 대답도
안하시는 수준...  다신 안갈듯...."
364,망고레이 천지연폭포점,이 주변을 산책삼아 거닐때 망고레이 망고주스를 들고 마시면서 거닐면 더 행복해질 수 있다ㅋ
365,망고스타카페,망고를 즉석에서 갈아줘서 넘 신선하고 맛있네요!!가격이사악한거 빼고 최고여씁니다
366,망고홀릭,"망고 빙수 맛납니다....
저녁 늦게까지 합니다.흔치않은 흡연카페입니다.
취객과 흡연자 많아서 아이들 데리고 가긴 안좋아요.
서귀포 살면서 이런데 처음봄.망고빙수 진짜 비주얼 짱......ㅠㅠ리뷰보고 먼길을 찾아 왔는데
술 마시는 분들..
아이한테 추억남겨주고 싶었는데ㅠㅠ
망고 슬라이스  시키니깐
이걸 권하길래..
속았어..
하나는 먹을만 하고
하나는 덟고..
추억 남길려다
제데로 망쳤어
다시 오지 말아야지2인  -16,000
저는 보통 이었어요(망고수제요플레)자리가 없어서 나와서 먹었어요~ 맛있어요~~ 망고 좋아하시는분 가세요~~최고에요*^^;망고가올려진 눈꽃빙수가 맛있음
가격이 비싼게 단점
카페 내부 분위기는 좀 어수선하네요망고빙수 맛있네. 망고 안좋아하는데 비리지않고 괜찮음"
367,망고홀릭 애월해안도로점,"직원들도 별로 불친절 하고 맛도 그렇게 맛있진 않네요 그리고 스페셜 과일은 다 냉동 이라네요 가기 꺼림직 스러울 수 도 있을 것 같아요 그리고 여기서 파는 코코넛 과자 비슷한 게 있어요 그거 4개사면 2개 더 준다고 해서 샀는데 인터넷 가격에 3배 더군요 이득 보고 싶으면 과자종류는 인터넷 에서 사는 걸 추천합니당♡생 망고 한접시 최고 에요
오랜만에 먹었는데 고인물이라 그런지 이젠 돈주고 못먹겠네요. 애월해안이 바로 앞입니다. 
경치가 좋아요. 
신선로 망고 코코넛 눈꽃 빙수
2인용에 1.5만원
맛있어요.. 3~4명이 나눠 먹어도 괜찮습니다. 필요한 부재료 들은 기호에 따라 추가로 넣어서 먹으면 됩니다.
사장님께서 매일 국산팥도 직접 끓이시고, 떡도 따로 맞춰서 쓰신대요. ㅋ날씨도 굿. 풍경도 굿. 맛도 굿.바다 앞...전망 굳..풍경도 좋고 신선로눈꽃빙수도 완전 맛남
아이들이 뛰어놀 수 있는 공간까지!!가격 대비 맛은 그닥 없는듯합니다.별 하나도 아까움. 기분좋게 여행 갔다가 불친절해서 하루종일 기분나쁨. 망고빙수도 너무 양이 적고 비쌈. 사장님 알바생 월급좀 많이 주세요. 사람이 얼마나 많으면 그렇게 불친절하게 합니까ㅠ별로. 불친절함 든것도 없고"
368,망고홀릭 제주본점,깔끔하고 맛있음
369,망고홀릭성산일출봉점,귀여워요! 좋아요. A little expensive but worth it. 간지가나는데 비쌈
370,매기의추억,"A cozy place! 
Nice coffee, ocean view, fresh breeze...드립커피 먹지들 마시와요.ㅠㅠ
에스프레소로 내려서 뜨거운물 썪어서 나오는게
이건 아니잖아여..
드립이라 더 받고 커피는..별 하나도 아까운드립커피 양은적지만 진하고 맛있었어요 치즈케이크도 맛있네융 막 진한건 아니지만 좋았어요카페라떼 맛있어요
당근케이크,치즈케이크 맛있어요위치는 해변앞에있고 최고였습니다 ! 주문하는 카운터 옆에 커피그라인더가 있었는데 그 주변이 너무 더러워서 비위가 상했다는..... 직접 만든 당근케익도 그냥 평범하고 좀 퍽퍽했어요. 사장님은 친절하시고 분위기가 좋은곳lovely setting, friendly owners, good dessert and drink 망고라씨, 매기의추억커피,당근케이크
실내 분위기가 매우 좋고 사장님도 친절하심.
커피는 굿, 라씨도 현지 라씨에 비하면 노말, 당근케이크는 많이 달지 않고 위에 크림과 조합이 매우 좋음 베스트 디저트 카페.
라떼 5천원인데, 양이 너무 작아요~~ 보통 카페 반정도...

장소는 이뻐요~해변 드라이브하다 커피마시려고 들렸는데 정말 너무너무너무 예쁜 카페였어요. 치즈케잌도 존맛탱. 뭐 마시면서 앉아서 바다를 바라보고만 있어도 힐링될거같은 곳이에요. 편안한 분위기, 한동안 잘 쉬고 나왔습니다. 커피를 직접 볶는데 커피 맛이 제 취향과는 조금 다른 게 아쉬운데요.가격 빼고는 다 좋아요! 분위기, 조망, 서비스 감동 ㅠㅠCoffee &amp; Cake카페해안도로 달리다 우연치않게 알게된 카페
아기자기하고 바다가 보이고 제주향이 물씬 풍기는 너무 예쁜집
사장님도 너무 친절함 사진 엄청 찍어줌ㅎ
처음으로 카플에 후기 남기는데 안남길수 없었음ㅋ
꼭꼭 다시가고싶은집
명함 달라고하니 브러찌 주셨다ㅎ해안선 바닷가 집, 향기로운 커피, 쉼.커피도 맛있고 풍경도 좋고 제주식 인테리어도 마음에 들어요오어쨌든 내가 원하는 카페가 떡하니 협재가는 해안도로에 있었다. 끝!!커피 맛있고 분위기 좋음.점점 복잡해지는 제주가 싫었는데 오랜만에 조용히 쉬다 온 카페. 매기의추억 커피 최고였음!!!지나갈때마다 신경쓰이던 카페.오늘 갔다왔는데 카페 진짜 예쁘고, 커피도 엄청 맛있어요!거기다 사장님이 친절하시기까지...강추예요!ㅋㅋ지나가는 길에 방문했는데... 커피도 아주 맛나고 사장님이 직접 만드셨다는 당근케잌...
제 입맛에는 딱이던데... 다음 방문에 꼭 다시 가보고 싶은 곳입니다 ~^^사장님 친절하시구 사람 별로 없을 때 가면 바람두 선선하니 경치도 보고 넘 조아용~~* 수요일은 휴무래요"
371,머들왓카페,"아기자기한 소품, 아름다운 정원과 건물, 
포근한 침구~정말 힐링되는 곳입니다^^카페와 주변풍광이 멋지게 조화로운 곳. 
제주여행중에 기억에 남는 몇 안되는 곳. 
숙박시설은 컨테이너로 만들어서 고급지진 않고, 메인건물에 있는 목조숙소가 간지철철. 
아무튼 가보면 여행이 이것이다!라는 느낌이 들 것이다. "
372,머문,윌정리에 있는 까페에서 가장 VIEW가 좋으며 시설도 깨끗하고 직원들이 너무 친절해요. 
373,머물다,"헐.. 커피는 최악인데다 해물 카레에서 해물들은 다 어디로 도망갔는지..
해물 갯수 손가락으로 몇개인지 다 셀수 있음.. 딱 한번 가보곤 두번다시 안가봤는데.. 밑에 9점 준 사람은???????????? 그새 180도 바뀌었을것 같진 않은데.. ㅉㅉ고산에 머물게 되면, 머물다에서 카레돈까스를 먹어야 한다! 
당산봉-엉앙길-수월봉 올레길 걷고 머물다를 꼭 가보시길. 고산읍내 맛집도 많고 풍족한 동네인듯"
374,머뭄,"소금커피도 맛있구 칵테일도 괜찮은편 ! 
"
375,먹쿠슬낭여행자카페,"애플망고빙수
비싸지만
정말맛있어요 최고천리향 주스 맛나네요^^애플망고빙수 맛있어요. 특산품 과자같은것도 낱개로 살 수 있고요. 의자도 편하고 책도 비치되어있어 좋아요. 대만이나 다른곳에서 먹었던 망고 빙수보다 맛있어서 제주 갈때마다 먹어요 ㅎㅎ "
376,먼트커피,원두티백 향이 좋아요. 한통씩 사야겠네요
377,멍멍플레이스,It's a great place to bring your dog. There is soooooo much space to run and play. Plus they have a ball pit and pool. It's great and the coffee is great.
378,멍하니,분위기좋음
379,메가커피 연동점,"동네 커피숍 같네요. 친근해요!! 저렴한 가격과 친절함은 당연하구요.극혐.
너무 불친절함. 주문 잘못 받아놓고 이거 시켰잖아요 하면서 겁나 따짐ㅋㅋㅋㅋ 개웃기네 ㅋㅋㅋ 내가 잘못말했거나 그여자인간이 잘못 들었거나 둘중 하나 잘못이지만 그렇게 한대 칠 기세로 따져도 되는거임?ㅋㅋㅋ 어이가 없어서 웃음나옴ㅋㅋ 그딴식으로 카페일 할거면 하지마세요 그것도 서비스직일텐데 서비스 뜻 모르나? 내가 주문 잘못받았다고 갑질합디까? ㅋㅋㅋ 내가 갑질 진상짓 했으면 말을안함 ㅋㅋㅋ 메가커피 본사 전화했더니 상황듣고 담당자한테 전달하고 연락주겠다더니 한 2주 지난듯 ㅋㅋㅋ 별그지같아서 원.. 싼값하네요 모든 면에서~솔직히 별 하나 주기도 아깝네요 불친절하기가 아주 대박인듯 가격이 저렴하면 뭐해요 불친절이 몸에 깔려 있던데  손님이 와도 주문받을 생각이 있는건지 없는건지 등진채로 뭐가 그렇게 바쁘신지 다른손님 한명도 없을때였는데-_- 여기 가시려고 하는 분들 그냥 다른데 가세요 카페도 많은데 괜히 빈정만 상합니다 "
380,메가커피 제주516도로점,"메가커피 치고는 매장 좀 크고요. 직원 친절 별로라던데 제주도 보통 수준이더라고요. 친절하지 않긴한데.. 어차피 커피한잔 받아가면 되니깐....정말 불친절 하네요 같은동네 주민인데 차라리 동홍동에 잇는곳 이용하네요 

다들 정말 문제지만 특히 남성분 정말 표정부터 내가 왜이걸 하고 있지라는 표정이네요

실망입니다.직원교육똑바로 시키세요.손님이 와서 주문시키는데 짜쯩난투로 손님 한테 대하는 메가커피 매장 이네요.불친절 합니다."
381,메가커피 제주혁신도시점,저렴하고 가성비 좋습니다.저렴 굿
382,메가커피 중문점,"흑당버블티 펄이 하나도 안익어서 말했더니 내가 먹던 음료에 남은 펄을 씻어서 다시 익힘
그렇게 새로 받은 음료도 겉은 흐물거리는데 안은 하나도 안익고 텁텁함
아랫쪽에만 흑당소스가 있는데 그걸 섞으면 너무 연해짐 
흑설탕 향기 좀 나는 우유 마시는 기분 ㅠ
밀크티 양을 줄여서 좀 진하게 만들어달라했는데도 그상태
흑설탕도 맛있는 흑당이 아니라 짠맛나는 흑당이라서 사람마다 다르겠지만 일단 내 취향은 아님 커피 맛도 없고 직원도 불친절함."
383,메가커피 함덕해수욕장점,"별 한개도 아까운 불친절한 직원. 기본적인 예의도 없음동네주민이라 거의 매일 가는데 이렇게 불친절한 직원은 처음 봄ㅋㅋㅋㅋㅋㅋㅋ음료는 괜찮았는데 점원이 너무 불친절하시네요
화장실 위치 적혀져있었어도 잘 못봐서 물어봣더니 목소리도 넘 작으시고 신경질적이시고 말이 너무 빠르시구 물론 미소같은건 없으시고
ㅎㅎ 어무니한테도 똑같이 대하셔서 좀 짜증났네요 진짜 ㅡㅡ"
384,메르블루,관광하다가 잠시 쉬어가기 좋네요 ㅎㅎ 라떼가 맛있네요커피향도 좋고~~은은한 원두향이 굿~!
385,메리앤커피,"가격대비 양도 많고 컵도 귀엽고 맛있고 메뉴도 많아요  사장님도 친절메리앤치노랑 스콘 잘먹었어요   굿굿^-^제주시 갈때 가끔 들리는 커피숍인데  빵도 맛있고 딸기쉐이크도 맛있어 좋음브라우니 맛있어요^^
구제주 동네 작은카페 
사장님 친절하시고 커피 디저트 다맛있음 
영업시간 늦게까지 하면 자주갈듯 
"
386,메리오가닉,유기농커피랑 친환경 제품들이 있어요~ 채식과 환경에 관심 많은 사장님이 계셔서 많은 이야기를 나눌수 있었어요
387,메이비,"최고네요~이중섭거리에서 가장 유명한 데에는 이유가 있다. 인테리어나 외관부터 확 눈에 띔. 외국인들도 알고 많이 찾아오는 집. 커피 맛 자체는 평범하나 분위기로 인해 다 참작됨.여기 카페 위치 옮겼어요. 이중섭거리 비탈길 맨 꼭대기쪽에 있었는데 비탈길 맨 아래쪽으로 이동했음. 
분위기는 좋으나 가격에 비해 양이 너무 적음. 샹그리아 8천인데 얼음 지분이 70프로ㅠ 한입 마셨더니 나띵.... 맛도 그냥 그럼.
넘나 부족해서 하우스와인 글라스로 좀더 마셨는데 이마저 조금 따라줌..ㅠ이중섭거리안에 있는 아담한 카페. 와인과 맥주, 간단한 스낵류도 판매중.
낮보다 밤이 이쁜곳.진짜이쁘고 아기자기하네요... 핑트레모네이드 추천맛있돠!
1인용사이즈 아기자기 귀여움ㅋ인테리어 굿
외국인이 개데려옴 헉!!
베리빙수 5000원
망고빙수 4500원넘 이쁘다ㅡ♥_♥
자주가고싶은 곳 당첨!
외국인도 많이 찾는 곳,ㅋㅋ커피 & 움료들 ...서비스 좋고, 커피가 약간 진한편."
388,메이즈,"얘들데리고 올 코스로 아주 굿입니다.
미로도 세종류에 깔끔하고 각종 꽃화원도 있고. 족욕도 할수있어요. 실내박물관에 각종 퍼즐과 신기한 그림들.퀴즈...진짜 굿입니다.
"
389,메종드카페,카페는 괜찮았지만 혼자와서 제일 비싼 자리 앉는다고 사장님이 소곤소곤. 다 들려요~
390,메종드카페 신서귀포점,"블루베리 쵝오 완전맛있어요~체복자 빙수 너무 맛있어요!!다양한 색감의 블랜딩 티
빙수 정말 맛있고, 티도 정말 맛있어요커피도 맛있고 빙수도 넘넘 강추해요! 카페도 예뻐서 친구들과 좋은시간 보내다 왔어요~~"
391,멜로우베이킹,"태풍에도 오픈시간 지키시더라고요
빵도 맛있고 커피도 맛있었습니다~~!!"
392,명가헌,분위기 좋은 곳에서 여유롭게 차를 마실 수 있어 좋습니다. 다양해서 골라먹는 맛이 있네요 ㅎㅎ은은한 차향이 넘좋구~~분위기도 굿~!
393,명월국민학교,"맛은 보통 분위기는 생각보다 어수선.. ㅠ9월1일부터 7일까지 방송촬영한다고 막아놨네요 헛걸음함너무 좋았아여 기대안하고갔는데 완전 만족 잘꾸며났어욥!!그냥... 이유를 모르게 그냥 뭔가 낭만적이었던 곳. 폐교를 가꿔서
사람들의 이목을 끌게 하는 
생각은 아주 좋은데
까페 직원들 불친절 .. 이거 뭐지?
빙수도 근 4~5년 사이에
물얼음 빙수 첨 먹어봄
물얼음위에 단팥,떡하나 달랑인데
13000원...헐... 
임대료도 저렴한 곳에서
이리 받으면 손님을 호객으로 알겠단 거임?
이리 허접한데
직원들 태도..참...
제발 제주 욕먹게 하지 마시길..
맛 별룬데 가격이 안착하면
마인드라도 잘 장착하시길..點心跟飲料很不錯，可惜沒逛到市集
小店沒有很多有特色的小品
覺得可以不用特地來，畢竟蠻偏僻넓은 정원과 카페 공간들이 너무 좋다.
복도 창가자리에 구슬비 내리는 날 갔는데 너무 좋았다.
커피도 부드러워서 최고.공간을 센스있게 가꾸어 놓아서 구경하는 재미가 쏠쏠아이들 데리고 가기 좋습니다. 커피 맛은 so so... 하지만 정말 기분 좋게 있다 옴. 너무 기대를 안 해서였는지 몰라도 꽤 괜찮게 꾸며놓았고 이런저런 소소한 재미가 있는 곳임. 지나가다 부담 없이 음료 마시며 수다 떨기 좋은 곳이라 자주 갈 듯.폐교된 학교를 아기자기 잘 꾸며놓은 곳!
가족 친구 연인끼리 가도 다 좋을 것 같다!
여기는 맛보다는 사진 스팟!"
394,모노클제주,"제주에 사시는 분들 인스타를 팔로우 하는데요 
그분이 정말 하루가 멀다하고 모노클을 가시더라구요
그래서 저도 가보았습니다

우선 빵이 정말 맛있어요
째즈가 흘러나오고 
맛있는 아이스 아메리카노 
멀리 보이는 햇살에 반짝이는 바다까지 넘 좋았어요
아쉬운건 제주에서 보내는 마지막날이라 시간이 없어서 
테이크아웃으로 싸와야했지만
기회가 된다면 카페에서 오래시간을 보내고 싶었던 곳이예요 찾아간 카페인데 약간 평범한 메뉴들
분위기는 좋아요
인테리어가 예쁘고 앞에 마당이 있어서 트인 느낌이 들어요빵이 아주 맛있네요. 커피도 아주 좋았어요. 분위기도 모던한 내부, 정원에서는 먼 바다도 보이고 편안했어요. 테이블은 많지 않습니다. 인스타그램용 사진 찍기 좋을 장소~ 귤창고였다는데 분위기도 좋고 흐르는 음악도 좋아요!
아는 음악이 흘렀을 때 기분 좋았음!!
까눌레 맛있구요&gt;_&lt; 위미에 실내외로 예쁜 공간의 카페!
아인슈페너는 생크림이 아니라는 ㅠ3ㅠ
사람들이 사진찍으러 많이 가실거같아요~~~디저트와 음료의 수준이 매우 높습니다. 재료의 수준이 높다고 할 수 있겠습니다. "
395,모뉴에트,"팥오버 생크림 위에 과일은 지금 시즌엔 없어서 아쉬웠지만 
생크림 맛있네요 많이 안달고 ㅎ 
까눌레는 얼그레이로 ㅎ 오래 앉아있기에는 자리가 약간 애매합니다. 음료도 생각보다 달구요ㅠㅠ 갬성은 넘쳐서 한 번쯤 사진 찍기에 좋아요! 제주살이 하시는 분들 와서 책읽고 하는것 같았어요:) 분위기는 좋아요~ 카페분위기랑 선곡은 괜찮음.
음료맛은 특색없고 친절도도 떨어지네요.

메뉴판이 카운터에만 있어서 일행이랑 같이 보려고 테이블로 가져가려했더니 메뉴판 옮기시면 안되요. 
등받침없는 딱딱한 나무의자라서 옆테이블 의자랑 바꿨더니 의자 옮기시면 안되요.  심지어 손님도 두팀밖에 없었는데...

카페는 전시장이 아니라 쉬는곳 아닌가요..쿠키도 맛있고 카페 내부도 예쁘고 
노래가 너무 좋아서 계속 머무르고 싶은 곳..!오후 5시쯔음 솔드아웃된 제품이 많아서 아쉬웠음, 갬성갬성함비싸서 두개깍음. 맛도잇고 분위기도 좋음ㅋ 알맞게 갬성뭍혀 만든 가게음악이 좋고 카눌레가 맛있었어요 잔잔하게있다 가기 좋네요친절해 보이는 말투, 친절하지 않은 태도.
적은 인원이 가서 큰 테이블밖에 자리가 남지 않아 미안한 마음에 밖에서 먹기 위해 테이크 아웃을 요청함.
한 메뉴가 테이크 아웃이 안되길래 이유를 물었더니 우리가 기준이니 우리에게 맞추라는 황당한 대답을 함.
이러이러한 이유때문에 안된다는 말을 하면 될걸 여태까지 이래왔고 모두에게 똑같이 적용했으니 너도 그렇게 해야한다는 뉘앙스의 얘기를 함.
그래도 해달라는 생떼를 쓰기 위해 물어본것도 아니고, 나름 카페에 시그니쳐 메뉴이고 그 메뉴를 먹어보고 싶기에 이유가 있다면 그 이유에 맞추려 했었으나, 안되는 이유는 우리가 안된다고 정했기 때문이라는 투의 말은 참 어이가 없었음.음악이나 커피 좋아하시는 분들은 꼭 가 보세요
커피 맛이 아주 좋아요
같이 시킨 마들렌도 맛있었어요ㅠㅠ
인테리어도 멋있고 흘러 나오는 음악들도 너무 좋아요~
가격도 합리적인 편이고 나무랄 데 전혀 없는 카페!멍때리기 좋은날, 풋귤 차와 함께~...진짜 최고에요 까눌레 완전 맛있고 공간도 너무 멋있게 꾸며 놓으셨어요. 음악도 최고고..뭐 하나 단점이 없어요  다만 의자가 편하지 않아 오래 앉아 있을 수 있는 느낌은 아니지만 그래도 이 주변 최고의 카페!!까눌레 굿."
396,모드락572,"Очень уютная кофейня. Хозяйка сама обжаривает кофейные зерна из разных регионов и заваривает кофе. 아담한 까페인데 분위기도 좋아요. 한참 앉아서 놀다왔네요^^이곳에서
사장님이 로스팅한 커피 마시며
책 한권 읽고 싶은 분위기이네요.

커피맛은 말할 필요 없네요.
부드럽고 향이 좋습니다.분위기가 참 좋네요
감귤 생과일 쥬스도 넘 맛있게 먹었습니다
커피는 일행이 마셨는데 향이 좋더라구요
사장님도 친절하세요 ^^커피맛은 괜찮지만 분위기는 별로예요가시리 시원한 카페친절은 잠깐만 있어봐서 알순없고요 커피맛은 모드락 스페샬 먹어봤는데 가격과 일부러 찾아간 노력에 비해 실망입니다. 그낭 일반 원두는 안 먹어봐서 모르겠고요. 10점짜리 평들 보면 평가자들 카피 입맛이 의심됨커피한잔하고싶어 검색해 찾아간 곳인데, 사장님 정말 친절하시구 좋은시간 보내고 왔어요 커피향 정말 좋더라구용~~가시리에 오면 꼭 들러야 할곳.가시리 돼지 고기만 먹지 말고 모드락에서 커피도 같이 마시자사랑과 정이 넘치는 공간..^^ 사장님 그런 시간과 공간을 선물해주셔서 감사합니다. 커피한잔값만 내고 너무나도 소중한 것들을 얻어갑니다.생각없이 들린 이곳은 커피향으로 나를 설레이게 하였다사장님 번창 하세요여자친구랑 여행와서 우연히 찾게 되었는데
크림스파게티 먹었었는데 정말 맛있었어요ㅠㅠ
커피도 무지 맛있어서 돌아가기전에 다시 와야겠어요
사장님도 무지 친절하셔서 좋았어요그런데 여기 포스팅 된 사진은 카페로 바뀌기 전 옛날 집이네요~
지금은 이 모습 아니죠~
카페 외벽엔 주인장이  그린 멋진 벽화도 있고요~
아무튼 직접 가보면 참 좋습니다,제주의 정겨운 마을 가시리엔 따라비 오름이 있고~ 음~ 정말 최고의 커피 맛 , 멋스럽고 편안한 분위기의 모드락 카페가 있다. 제주시에 사는 나도 그 곳 커피 맛이 고파 먼길 마다 않고 주말에 종종 달려간다~ 에스프레소,탄자니아, 코스타리카 타라쥬, 카모마일, 신선한 생딸기 쥬스~ 등등, 모두 최고의 맛이다. 가격도 착하다~제주 중산간 마을 가시리 ... 오름과 멀리 바다가 보이고, 평원이 이어지는 평화로운 마을,돌담길따라 산책하는 재미도 쏠쏠, cafe 모드락572 를 만난 기쁨이 있었습니다. 신선한 원두를 갓 볶아 내린 드립커피에 여행이 주는 여유로움을 한껏 느끼고, 갤러리에 와 있는 듯 디자이너 작품도 감상도 하는 좋은 시간이었습니다. 적극 추천합니다 Wow"
