,cafe_id,cafe_x,address_x,addrbunho_x,final_address,si,town,ri,franchise_y,image_url_x,lat,lng
0,26604033,고스란히,제주특별자치도 제주시 이도2동,2031-10,제주특별자치도 제주시 이도2동 2031-10,제주시,제주시,제주시,0.0,http://t1.daumcdn.net/place/4BA20485D86048C98FEB839B1A79F3F0,33.48845963805351,126.53515174491564
1,1952082824,벨로인연구실,제주특별자치도 제주시 이도1동,1245-5,제주특별자치도 제주시 이도1동 1245-5,제주시,제주시,제주시,0.0,,33.50273862033667,126.53263464223407
2,503035232,낭만주의,제주특별자치도 제주시 내도동,543,제주특별자치도 제주시 내도동 543,제주시,제주시,제주시,0.0,,33.49554563322647,126.43758112307214
3,1452036521,카페뮤로,제주특별자치도 제주시 연동,252-2,제주특별자치도 제주시 연동 252-2,제주시,제주시,제주시,0.0,http://t1.daumcdn.net/localfiy/searchregister_1107888949,33.487382381914486,126.48784390968235
4,902742954,시골친구,제주특별자치도 서귀포시 표선면 가시리,987-6,제주특별자치도 서귀포시 표선면 가시리 987-6,서귀포시,표선면,가시리,0.0,http://t1.daumcdn.net/place/16019E03FBE14CF6BC51832AC4D03BF4,33.346799610184355,126.78375262335199
5,808101168,성읍마트카페,제주특별자치도 서귀포시 서귀동,268-3,제주특별자치도 서귀포시 서귀동 268-3,서귀포시,서귀포시,서귀포시,0.0,,33.25105874574209,126.56524446737906
6,299559976,바다2822,제주특별자치도 서귀포시 색달동,2822-12,제주특별자치도 서귀포시 색달동 2822-12,서귀포시,서귀포시,서귀포시,0.0,http://t1.daumcdn.net/place/A7AEBA916D1F4F249A5F0F2FAB89CBC4,33.245938090500196,126.41266867189064
7,19723055,러쉬,제주특별자치도 제주시 연동,1488-3,제주특별자치도 제주시 연동 1488-3,제주시,제주시,제주시,0.0,,33.48087086616346,126.4917339954775
8,27602129,아뜰리에제주명월,제주특별자치도 서귀포시 안덕면 상창리,1273-1,제주특별자치도 서귀포시 안덕면 상창리 1273-1,서귀포시,안덕면,상창리,0.0,http://t1.daumcdn.net/place/DB76234A1652451C8434D4D4383E4A8C,33.27948926209153,126.3614863674365
9,2014263446,망고레이 동문시장점,제주특별자치도 제주시 일도1동,1141-3,제주특별자치도 제주시 일도1동 1141-3,제주시,제주시,제주시,0.0,http://t1.daumcdn.net/place/30A55F77790743ADA5D2E526AD0C2546,33.512398411770164,126.52838943111216
10,1013835521,게우지코지인갤러리 커피하우스,제주특별자치도 서귀포시 하효동,1371-1,제주특별자치도 서귀포시 하효동 1371-1,서귀포시,서귀포시,서귀포시,0.0,http://t1.daumcdn.net/place/4DCC2AC65DAA4E4AB72D5D577D57BF35,33.2438538414112,126.61826939888087
11,11003199,다솔산방,제주특별자치도 서귀포시 회수동,571,제주특별자치도 서귀포시 회수동 571,서귀포시,서귀포시,서귀포시,0.0,,33.252285595025356,126.44649745207715
12,484719553,달봉펜션&카페,제주특별자치도 제주시 우도면 연평리,762,제주특별자치도 제주시 우도면 연평리 762,제주시,우도면,연평리,0.0,,33.52318037093352,126.95518084161029
13,26613718,카페안,제주특별자치도 제주시 한림읍 협재리,1388,제주특별자치도 제주시 한림읍 협재리 1388,제주시,한림읍,협재리,0.0,,33.39969735384731,126.24978682686705
14,14532930,달보드레,제주특별자치도 제주시 연동,274-50,제주특별자치도 제주시 연동 274-50,제주시,제주시,제주시,0.0,,33.48550706518196,126.49046740034196
15,1537748035,화용다방,제주특별자치도 서귀포시 서귀동,275-7,제주특별자치도 서귀포시 서귀동 275-7,서귀포시,서귀포시,서귀포시,0.0,,33.24867088702446,126.56308870571534
16,11051406,사계절다방,제주특별자치도 서귀포시 표선면 표선리,653,제주특별자치도 서귀포시 표선면 표선리 653,서귀포시,표선면,표선리,0.0,,33.324471596809325,126.83271775388373
17,507163800,카페마마미니,제주특별자치도 제주시 조천읍 선흘리,4029,제주특별자치도 제주시 조천읍 선흘리 4029,제주시,조천읍,선흘리,0.0,http://t1.daumcdn.net/localfiy/9D9BF3F8198F4240BB2371019AEDB174,33.484538943257604,126.69821139820769
18,22843140,맘,제주특별자치도 제주시 이도2동,1181-4,제주특별자치도 제주시 이도2동 1181-4,제주시,제주시,제주시,0.0,,33.49864467442438,126.53149011359768
19,222280511,에이바우트커피 혁신도시점,제주특별자치도 서귀포시 서호동,1550-10,제주특별자치도 서귀포시 서호동 1550-10,서귀포시,서귀포시,서귀포시,0.0,http://t1.daumcdn.net/place/B0E34DE8D193494BA21D625FFC2B9311,33.249468052000736,126.51449611986477
20,1764994175,라붕제주,제주특별자치도 제주시 도두이동,719-1,제주특별자치도 제주시 도두이동 719-1,제주시,제주시,제주시,0.0,http://t1.daumcdn.net/localfiy/searchregister_1454985009,33.509569110662824,126.48186696307295
21,13811905,티움,제주특별자치도 제주시 이도1동,1252-11,제주특별자치도 제주시 이도1동 1252-11,제주시,제주시,제주시,0.0,,33.501985512418386,126.5308909807068
22,1580292836,바람아래카페,제주특별자치도 제주시 한경면 판포리,2825,제주특별자치도 제주시 한경면 판포리 2825,제주시,한경면,판포리,0.0,,33.36316495796442,126.20179803185465
23,1745916823,하동다방,제주특별자치도 제주시 영평동,893-3,제주특별자치도 제주시 영평동 893-3,제주시,제주시,제주시,0.0,,33.486326809413285,126.57387270899555
24,1044133186,농업회사법인한스,제주특별자치도 제주시 조천읍 함덕리,2255,제주특별자치도 제주시 조천읍 함덕리 2255,제주시,조천읍,함덕리,0.0,http://t1.daumcdn.net/localfiy/1A6D33F69956415C91B7FE77104E042E,33.52654901425911,126.66029377179376
