번호,사업장명,소재지전체주소,도로명전체주소,개업일자,영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지우편번호,입소정원,자격소유인원수,총인원수,위치정보(X),위치정보(Y),상세영업상태명
161,연동실버아카데미,서울특별시 종로구 연지동 ,,20130605,운영중,,,,,,,140,,,,,운영
162,늘푸른대학,서울특별시 종로구 종로6가 ,,20130923,운영중,,,,,,,200,,,,,운영
163,서대문교회실버대학,서울특별시 종로구 송월동 ,,20131018,운영중,,,,,,,100,,,,,운영
164,한강경로아카데미,서울특별시 용산구 한강로3가 63-379번지 3층 ,,20110517,운영중,,,,,,,150,,,197225.366674       ,446902.31325        ,운영
165,해돋는마을 노인교실,서울특별시 용산구 동자동 43-42번지 ,,20110517,운영중,,,,,,,,,3,197464.229979       ,449985.369951       ,운영
166,해돋는마을 노인교실,서울특별시 용산구 동자동 43-42번지 ,,20110517,운영중,,,,,,,,,3,197464.229979       ,449985.369951       ,운영
167,해돋는마을 노인교실,서울특별시 용산구 동자동 43-42번지 ,,20110517,운영중,,,,,,,50,,3,197464.229979       ,449985.369951       ,운영
168,해돋는마을 노인교실,서울특별시 용산구 동자동 43-42번지 ,,20110517,운영중,,,,,,,50,,3,197464.229979       ,449985.369951       ,운영
169,해돋는마을 노인교실,서울특별시 용산구 동자동 43-42번지 ,,20110517,운영중,,,,,,,50,,3,197464.229979       ,449985.369951       ,운영
170,이태원교회 실버아카데미,서울특별시 용산구 이태원동 ,,20120213,운영중,,,,,,,120,,,,,운영
171,대한노인회 용산노인대학,서울특별시 용산구 효창동 ,,20120910,운영중,,,,,,,50,,5,,,운영
172,비전어르신교실,서울특별시 용산구 원효로2가 ,,20130806,운영중,,,,,,,0,1,,,,운영
173,한남동성당 안나 노인교실,서울특별시 용산구 한남동 657-41번지 천주교 한남동 성당 ,,20100416,운영중,,,,,,,61,,6,200147.659027       ,447943.262697       ,운영
174,해돋는마을 노인교실,서울특별시 용산구 동자동 43-42번지 ,,20100527,운영중,,,,,,,50,2,,197464.229979       ,449985.369951       ,운영
